#｀	〔全角〕
﹃	〔豎雙引號〕
〔	〔六角括號〕
﹝	〔小型〕
︹	〔豎六角括號〕
﹁	〔豎引號〕
〈	〔書名號〕
《	〔雙書名號〕
︿	〔豎書名號〕
︽	〔豎雙書名號〕
ˆ	〔揚抑符〕
⁀	〔字符連接〕
‿	〔下連接〕
⁔	〔豎翻下連接〕
‹	〔角引號〕
«	〔角引號〕
【	〔方頭括號〕
〖	〔方頭括號〕
︻	〔豎方頭括號〕
	〔豎方頭括號〕
〘	〔空心六角括號〕
〚	〔空心方括號〕
⁅	〔E方括號〕
〝	〔雙上引〕
‶	〔雙上標符〕
″	〔雙上標符〕
‷	〔三上標符〕
‴	〔三上標符〕
⁗	〔四上標符〕
#]	〔半角〕
#］	〔全角〕
｣	〔半角〕
』	〔雙引號〕
﹄	〔豎雙引號〕
〕	〔六角括號〕
﹞	〔小型〕
︺	〔豎六角括號〕
﹂	〔豎引號〕
〉	〔書名號〕
》	〔雙書名號〕
﹀	〔豎書名號〕
︾	〔豎雙書名號〕
ˇ	〔揚抑符〕
›	〔角引號〕
»	〔角引號〕
】	〔方頭括號〕
〗	〔方頭括號〕
︼	〔豎方頭括號〕
	〔豎方頭括號〕
〙	〔空心六角括號〕
〛	〔空心方括號〕
⁆	〔E方括號〕
〞	〔雙上引〕
〟	〔雙下引〕
#{	〔半角〕
#｛	〔全角〕
﹛	〔小型〕
⦃	〔空心花括號〕
#}	〔半角〕
#｝	〔全角〕
﹜	〔小型〕
⦄	〔空心花括號〕
#;	〔半角〕
#；	〔全角〕
﹔	〔小型〕
⁏	〔反分號〕
#:	〔半角〕
#：	〔全角〕
﹕	〔小型〕
⁚	〔兩點標〕
‧	〔間隔號〕
•	〔項目〕
●	〔實心圓〕
·	〔陸-間隔號〕
・	〔日-中黑〕
･	〔日-中黑半角〕
…	〔刪節號〕
⋯	〔數-刪節號〕
……	〔刪節號〕
⁘	〔四點標點〕
⁙	〔五點標點〕
⁛	〔四點記號〕
‥	〔二點前導符〕
⁝	〔三聯句〕
︙	〔豎刪節號〕
⋮	〔數-豎刪節號〕
⁞	〔豎四點〕
#'	〔半角〕
#＇	〔全角〕
‘	〔陸-引號〕
’	〔陸-引號〕
‛	〔歐-引號〕
‚	〔歐-引號〕
‵	〔上標符〕
′	〔上標符〕
‟	〔歐-雙引〕
„	〔歐-雙引〕
#"	〔半角〕
#＂	〔全角〕
“	〔陸-雙引〕
”	〔陸-雙引〕
#/	〔半角〕
#／	〔全角〕
⁄	〔分數斜號〕
#?	〔半角〕
#？	〔全角〕
﹖	〔小型〕
¿	〔倒問號〕
⁇	〔雙問號〕
⁈	〔疑問感嘆號〕
.	〔半角〕
．	〔全角〕
﹒	〔小型〕
#>	〔半角〕
#＞	〔全角〕
﹥	〔小型〕
≥	〔大等於〕
≧	〔大等於〕
≯	〔不大於〕
⦊	〔綁定括號〕
｡	〔半角〕
#。	〔句點〕
#。	〔全角〕
․	〔一點前導符〕
#,	〔半角〕
#，	〔全角〕
﹐	〔小型〕
#<	〔半角〕
#＜	〔全角〕
﹤	〔小型〕
≤	〔小等於〕
≦	〔小等於〕
≮	〔不小於〕
⦉	〔綁定括號〕
#\	〔半角〕
#＼	〔全角〕
﹨	〔小型〕
#|	〔半角〕
#｜	〔全角〕
¦	〔間斷條〕
╎	〔製表符〕
╏	〔製表符〕
┆	〔製表符〕
┇	〔製表符〕
┊	〔製表符〕
┋	〔製表符〕
‖	〔雙豎線〕
║	〔製表符〕
∥	〔平行於〕
᱿	〔桑塔利語標點〕
᰼	〔雷布查語標點〕
§	〔分節符號〕
¶	〔段落〕
⁋	〔反段落〕
❡	〔段落裝飾〕
⁌	〔加重號〕
⁍	〔加重號〕
∣	〔運算符〕
︱	〔豎破折號〕
#︱	〔豎破折號Em長劃〕
︳	〔垂直下橫線〕
│	〔製表符〕
┃	〔製表符〕
々	〔重複記號〕
〃	〔同上記號〕
〻	〔反覆記號〕
﹙﹚	〔小型〕
⁽⁾	〔上括號〕
₍₎	〔下括號〕
｟｠	〔雙括號〕
〔〕	〔六角括號〕
﹝﹞	〔小型〕
﹛﹜	〔小型〕
“”	〔陸-引〕
﹤﹥	〔小型〕
｢｣	〔半角〕
‘’	〔陸-引號〕
‛’	〔歐-引號〕
‚‘	〔歐-引號〕
‚’	〔歐-引號〕
‟”	〔歐-雙引〕
„“	〔歐-雙引〕
„”	〔歐-雙引〕
‵′	〔上標符〕
‷‴	〔三上標符〕
［］	〔全角〕
[]	〔半角〕
｛｝	〔全角〕
{}	〔半角〕
''	〔半角〕
＇＇	〔全角〕
""	〔半角〕
＂＂	〔全角〕
＜＞	〔全角〕
<>	〔半角〕
（）	〔全角〕
()	〔半角〕
「」	〔引號〕
『』	〔雙引號〕
〈〉	〔書名號〕
《》	〔雙書名號〕
︿﹀	〔豎書名號〕
︽︾	〔豎雙書名號〕
﹃﹄	〔豎雙引號〕
︹︺	〔豎六角括號〕
﹁﹂	〔豎引號〕
‹›	〔角引號〕
«»	〔角引號〕
【】	〔方頭括號〕
〖〗	〔方頭括號〕
︵︶	〔豎括號〕
⁔‿	〔下連接〕
﹃﹄	〔豎雙引號〕
︻︼	〔豎方頭括號〕
	〔豎方頭括號〕
⁅⁆	〔E方括號〕
〘〙	〔空心六角括號〕
〚〛	〔空心方括號〕
⦅⦆	〔空心括號〕
ˆˇ	〔揚抑符〕
⦃⦄	〔空心花括號〕
⦇⦈	〔映像括號〕
〝〞	〔雙上標引〕
〝〟	〔日-雙上下標引〕
‶″	〔雙上標符〕
⦉⦊	〔綁定括號〕
≤≥	〔小大於等於〕
≦≧	〔小大於等於〕
≮≯	〔不小大於〕
