#᰼	〔雷布查語標點〕
㎞	〔公里〕
㏎	〔公里〕
㎢	〔平方公里〕
㎦	〔立方公里〕
㎪	〔千帕〕
㏏	〔節〕
㎸	〔千伏特〕
㎾	〔千瓦〕
㏀	〔千歐姆〕
㏐	〔流明〕
㏓	〔照度〕
㎧	〔公尺秒〕
㎨	〔公尺平方秒〕
㎡	〔平方米〕
㎥	〔立方米〕
㎃	〔毫安〕
㏔	〔毫巴〕
㎆	〔兆位元組〕
㎎	〔毫克〕
㎒	〔兆赫〕
㏕	〔英絲〕
㎖	〔兆升〕
㎜	〔毫米〕
㎟	〔平方毫米〕
㎣	〔立方毫米〕
㏖	〔莫耳〕
㎫	〔百萬帕〕
㎳	〔毫秒〕
㎷	〔毫伏〕
㎹	〔兆伏特〕
㎽	〔毫瓦〕
㎿	〔兆瓦〕
㏁	〔兆歐姆〕
㎁	〔奈安培〕
㎋	〔奈米法拉〕
㎚	〔奈米〕
㎱	〔奈秒〕
㎵	〔奈伏〕
㎻	〔奈瓦〕
㏘	〔下午〕
㎩	〔帕〕
㎀	〔皮安培〕
㎊	〔皮法拉〕
㏗	〔pH值〕
㏙	〔百萬分率〕
㏚	〔公共關係〕
㎰	〔皮秒〕
㎴	〔皮伏〕
㎺	〔皮瓦〕
㎭	〔弧度〕
㎮	〔秒弧度〕
㎯	〔平方秒弧度〕
㏛	〔球面度〕
㏜	〔西弗〕
㎔	〔兆赫茲〕
㏝	〔韋伯〕
㎂	〔微安培〕
㎌	〔微法拉〕
㎍	〔微克〕
㎕	〔微升〕
㎛	〔微米〕
㎲	〔微秒〕
㎶	〔微伏〕
㎼	〔微瓦〕
＊	〔全角〕
﹡	〔小型〕
⁎	〔下星號〕
⁕	〔花飾〕
⁑	〔二星號〕
⁂	〔三星號〕
╳	〔製表符〕
※	〔參考記號〕
⁜	〔帶點十字〕
†	〔劍號〕
‡	〔雙劍號〕
﹙	〔小型〕
⁽	〔上括號〕
｟	〔雙括號〕
⦅	〔空心括號〕
⦇	〔映像括號〕
⁐	〔閉合〕
︵	〔豎括號〕
﹚	〔小型〕
⁾	〔上括號〕
｠	〔雙括號〕
⦆	〔空心括號〕
⦈	〔映像括號〕
︶	〔豎括號〕
﹘	〔小型〕
‐	〔連字號〕
⸺	〔2Em破折號〕
―	〔水平線〕
‒	〔數字線〕
⁃	〔項目符號〕
₋	〔下標負號〕
¯	〔長音符〕
＝	〔全角〕
﹦	〔小型〕
⁼	〔上標等號〕
‗	〔雙下橫線〕
＋	〔全角〕
﹢	〔小型〕
⁺	〔上標正號〕
₊	〔下標正號〕
±	〔正負號〕
−	〔負號〕
×	〔乘號〕
÷	〔除號〕
∕	〔除法斜號〕
√	〔根號〕
∛	〔立方根〕
∜	〔四次根〕
≠	〔不等於〕
≒	〔約等於〕
≡	〔恆等〕
≌	〔全等於〕
∽	〔相似〕
∞	〔無限大〕
∝	〔比例〕
π	〔圓周率〕
∑	〔N求和〕
∫	〔積分〕
∮	〔圍積分〕
∏	〔N乘積〕
∐	〔N元餘積〕
∇	〔劈算子〕
∆	〔增量〕
㏑	〔自然對數〕
㏒	〔對數〕
∈	〔元素〕
∉	〔非元素〕
⊂	〔子集〕
⊃	〔超集〕
⊆	〔子集等〕
⊇	〔超集等〕
∩	〔交集〕
∪	〔聯集〕
¬	〔邏輯非〕
∃	〔存在〕
∄	〔不存在〕
∀	〔全稱〕
∂	〔偏微分〕
∴	〔所以〕
∵	〔因為〕
∷	〔比例〕
⊥	〔垂直〕
∟	〔直角〕
∠	〔角〕
⊕	〔互斥或〕
⊙	〔同或〕
⊿	〔三角形〕
｢	〔半角〕
﹃	〔豎雙引號〕
﹝	〔小型〕
︹	〔豎六角括號〕
﹁	〔豎引號〕
︿	〔豎書名號〕
︽	〔豎雙書名號〕
⁀	〔字符連接〕
⁔	〔豎翻下連接〕
‹	〔角引號〕
˂	〔修飾字母〕
«	〔角引號〕
〖	〔方頭括號〕
︻	〔豎方頭括號〕
	〔豎方頭括號〕
〘	〔空心六角括號〕
〚	〔空心方括號〕
⁅	〔E方括號〕
〝	〔雙上引〕
‶	〔雙上標符〕
″	〔雙上標符〕
‷	〔三上標符〕
‴	〔三上標符〕
⁗	〔四上標符〕
｣	〔半角〕
﹄	〔豎雙引號〕
﹞	〔小型〕
︺	〔豎六角括號〕
﹂	〔豎引號〕
﹀	〔豎書名號〕
︾	〔豎雙書名號〕
›	〔角引號〕
˃	〔修飾字母〕
»	〔角引號〕
〗	〔方頭括號〕
︼	〔豎方頭括號〕
	〔豎方頭括號〕
〙	〔空心六角括號〕
〛	〔空心方括號〕
⁆	〔E方括號〕
〞	〔雙上引〕
〟	〔雙下引〕
｛	〔全角〕
﹛	〔小型〕
⦃	〔空心花括號〕
｝	〔全角〕
﹜	〔小型〕
⦄	〔空心花括號〕
﹔	〔小型〕
⁏	〔反分號〕
﹕	〔小型〕
⁚	〔兩點標〕
•	〔項目〕
●	〔實心圓〕
･	〔日-中黑半角〕
⋯	〔數-刪節號〕
⁘	〔四點標點〕
⁙	〔五點標點〕
⁛	〔四點記號〕
‥	〔二點前導符〕
⁝	〔三聯句〕
︙	〔豎刪節號〕
⋮	〔數-豎刪節號〕
⁞	〔豎四點〕
＇	〔全角〕
‘	〔陸-引號〕
‛	〔歐-引號〕
‚	〔歐-引號〕
‵	〔上標符〕
‟	〔歐-雙引〕
„	〔歐-雙引〕
＂	〔全角〕
／	〔全角〕
⁄	〔分數斜號〕
﹖	〔小型〕
¿	〔倒問號〕
⁇	〔雙問號〕
⁈	〔疑問感嘆號〕
�	〔替換字符〕
⯑	〔不確定標誌〕
⍰	〔Apl問號〕
🯄	〔負平方問號〕
﹒	〔小型〕
＞	〔全角〕
﹥	〔小型〕
≥	〔大等於〕
≧	〔大等於〕
≯	〔不大於〕
⦊	〔綁定括號〕
｡	〔半角〕
․	〔一點前導符〕
﹐	〔小型〕
＜	〔全角〕
﹤	〔小型〕
≤	〔小等於〕
≦	〔小等於〕
≮	〔不小於〕
⦉	〔綁定括號〕
＼	〔全角〕
﹨	〔小型〕
｜	〔全角〕
¦	〔間斷條〕
￤	〔全-間斷條〕
╎	〔製表符〕
╏	〔製表符〕
┆	〔製表符〕
┇	〔製表符〕
┊	〔製表符〕
┋	〔製表符〕
║	〔製表符〕
∥	〔平行於〕
᱿	〔桑塔利語標點〕
§	〔分節符號〕
¶	〔段落〕
⁋	〔反段落〕
❡	〔段落裝飾〕
⁌	〔加重號〕
⁍	〔加重號〕
∣	〔運算符〕
︱	〔豎破折號〕
︳	〔垂直下橫線〕
│	〔製表符〕
┃	〔製表符〕
々	〔重複記號〕
〃	〔同上記號〕
〻	〔反覆記號〕
❛	〔粗逗引號裝飾〕
❜	〔粗逗引號裝飾〕
❝	〔粗雙逗引號裝飾〕
❞	〔粗雙逗引號裝飾〕
