#᰼	〔雷布查語標點〕
ힷ	〔韓HJEB〕
ힸ	〔韓HJEB〕
ힹ	〔韓HJEB〕
ힺ	〔韓HJEB〕
ힻ	〔韓HJEB〕
ힼ	〔韓HJEB〕
ힽ	〔韓HJEB〕
ힾ	〔韓HJEB〕
ힿ	〔韓HJEB〕
ퟀ	〔韓HJEB〕
ퟁ	〔韓HJEB〕
ퟂ	〔韓HJEB〕
ퟃ	〔韓HJEB〕
ퟄ	〔韓HJEB〕
ퟅ	〔韓HJEB〕
ퟆ	〔韓HJEB〕
ퟋ	〔韓HJEB〕
ퟌ	〔韓HJEB〕
ퟍ	〔韓HJEB〕
ퟎ	〔韓HJEB〕
ퟏ	〔韓HJEB〕
ퟐ	〔韓HJEB〕
ퟑ	〔韓HJEB〕
ퟒ	〔韓HJEB〕
ퟓ	〔韓HJEB〕
ퟔ	〔韓HJEB〕
ퟕ	〔韓HJEB〕
ퟖ	〔韓HJEB〕
ퟗ	〔韓HJEB〕
ퟘ	〔韓HJEB〕
ퟙ	〔韓HJEB〕
ퟚ	〔韓HJEB〕
ퟛ	〔韓HJEB〕
ퟜ	〔韓HJEB〕
ퟝ	〔韓HJEB〕
ퟞ	〔韓HJEB〕
ퟟ	〔韓HJEB〕
ퟠ	〔韓HJEB〕
ퟡ	〔韓HJEB〕
ퟢ	〔韓HJEB〕
ퟣ	〔韓HJEB〕
ퟤ	〔韓HJEB〕
ퟥ	〔韓HJEB〕
ퟦ	〔韓HJEB〕
ퟧ	〔韓HJEB〕
ퟨ	〔韓HJEB〕
ퟩ	〔韓HJEB〕
ퟪ	〔韓HJEB〕
ퟫ	〔韓HJEB〕
ퟬ	〔韓HJEB〕
ퟭ	〔韓HJEB〕
ퟮ	〔韓HJEB〕
ퟯ	〔韓HJEB〕
ퟰ	〔韓HJEB〕
ퟱ	〔韓HJEB〕
ퟲ	〔韓HJEB〕
ퟳ	〔韓HJEB〕
ퟴ	〔韓HJEB〕
ퟵ	〔韓HJEB〕
ퟶ	〔韓HJEB〕
ퟷ	〔韓HJEB〕
ퟸ	〔韓HJEB〕
ퟹ	〔韓HJEB〕
ퟺ	〔韓HJEB〕
ퟻ	〔韓HJEB〕
｀	〔全角〕
︑	〔陸-豎頓號〕
﹑	〔小型〕
､	〔半角〕
⁓	〔代字號〕
˜	〔小型顎化〕
˷	〔低顎化符〕
∼	〔運算符〕
≈	〔約等於〕
≋	〔等價敘述〕
﹋	〔頂浪線〕
﹌	〔雙重頂浪線〕
〰	〔浪線〕
ⸯ	〔豎顎化〕
⌇	〔豎浪線〕
﹗	〔小型〕
⁉	〔感嘆疑問號〕
‽	〔問嘆號〕
⸘	〔倒問嘆號〕
＠	〔全角〕
﹫	〔小型〕
®	〔註冊商標〕
©	〔版權〕
℗	〔錄音版權〕
〄	〔JIS〕
〶	〔郵便〕
☯	〔太極〕
㉿	〔韓國標準〕
✆	〔電話位置〕
✇	〔磁帶驅動器〕
＃	〔全角〕
﹟	〔小型〕
⌗	〔數據方塊〕
⌘	〔command〕
＄	〔全角〕
﹩	〔小型〕
％	〔全角〕
﹪	〔小型〕
‰	〔千分號〕
‱	〔萬分號〕
℅	〔由轉交〕
℆	〔每一個〕
℀	〔賬戶〕
℁	〔股票公司〕
⅍	〔股票公司〕
＾	〔全角〕
‸	〔脫字號〕
∧	〔邏輯與〕
∨	〔邏輯或〕
⌃	〔上箭,Ctrl〕
⌄	〔下箭〕
⌅	〔投影〕
⊻	〔異或〕
＆	〔全角〕
﹠	〔小型〕
⁊	〔and〕
°	〔度〕
℃	〔攝氏〕
℉	〔華氏〕
Å	〔埃〕
㏃	〔貝克〕
㏆	〔庫侖公斤〕
㎈	〔卡路里〕
㏄	〔立方公分〕
㏅	〔燭光〕
㎝	〔公分〕
㎠	〔平方公分〕
㎤	〔立方公分〕
㏈	〔分貝〕
㎗	〔公合〕
㎙	〔飛米〕
㎓	〔吉赫〕
㎬	〔十億帕〕
㏉	〔格雷〕
㏊	〔公頃〕
㏋	〔馬力〕
㎐	〔赫茲〕
㏌	〔英寸〕
㎄	〔千安培〕
㎅	〔千位元組〕
㎉	〔千卡〕
㎏	〔公斤〕
㎑	〔千赫〕
㏍	〔株式會社〕
㎘	〔千升〕
