#᰼	〔雷布查語標點〕
㎠	〔平方公分〕
㎤	〔立方公分〕
㏈	〔分貝〕
㎗	〔公合〕
㎙	〔飛米〕
㎓	〔吉赫〕
㎬	〔十億帕〕
㏉	〔格雷〕
㏊	〔公頃〕
㏋	〔馬力〕
㎐	〔赫茲〕
㏌	〔英寸〕
㎄	〔千安培〕
㎅	〔千位元組〕
㎉	〔千卡〕
㎏	〔公斤〕
㎑	〔千赫〕
㏍	〔株式會社〕
㎘	〔千升〕
㎞	〔公里〕
㏎	〔公里〕
㎢	〔平方公里〕
㎦	〔立方公里〕
㎪	〔千帕〕
㏏	〔節〕
㎸	〔千伏特〕
㎾	〔千瓦〕
㏀	〔千歐姆〕
㏐	〔流明〕
㏓	〔照度〕
㎧	〔公尺秒〕
㎨	〔公尺平方秒〕
㎡	〔平方米〕
㎥	〔立方米〕
㎃	〔毫安〕
㏔	〔毫巴〕
㎆	〔兆位元組〕
㎎	〔毫克〕
㎒	〔兆赫〕
㏕	〔英絲〕
㎖	〔兆升〕
㎜	〔毫米〕
㎟	〔平方毫米〕
㎣	〔立方毫米〕
㏖	〔莫耳〕
㎫	〔百萬帕〕
㎳	〔毫秒〕
㎷	〔毫伏〕
㎹	〔兆伏特〕
㎽	〔毫瓦〕
㎿	〔兆瓦〕
㏁	〔兆歐姆〕
㎁	〔奈安培〕
㎋	〔奈米法拉〕
㎚	〔奈米〕
㎱	〔奈秒〕
㎵	〔奈伏〕
㎻	〔奈瓦〕
㏘	〔下午〕
㎩	〔帕〕
㎀	〔皮安培〕
㎊	〔皮法拉〕
㏗	〔pH值〕
㏙	〔百萬分率〕
㏚	〔公共關係〕
㎰	〔皮秒〕
㎴	〔皮伏〕
㎺	〔皮瓦〕
㎭	〔弧度〕
㎮	〔秒弧度〕
㎯	〔平方秒弧度〕
㏛	〔球面度〕
㏜	〔西弗〕
㎔	〔兆赫茲〕
㏝	〔韋伯〕
㎂	〔微安培〕
㎌	〔微法拉〕
㎍	〔微克〕
㎕	〔微升〕
㎛	〔微米〕
㎲	〔微秒〕
㎶	〔微伏〕
㎼	〔微瓦〕
＊	〔全角〕
﹡	〔小型〕
⁎	〔下星號〕
⁕	〔花飾〕
⁑	〔二星號〕
⁂	〔三星號〕
╳	〔製表符〕
※	〔參考記號〕
⁜	〔帶點十字〕
†	〔劍號〕
‡	〔雙劍號〕
﹙	〔小型〕
⁽	〔上括號〕
｟	〔雙括號〕
⦅	〔空心括號〕
⦇	〔映像括號〕
⁐	〔閉合〕
︵	〔豎括號〕
﹚	〔小型〕
⁾	〔上括號〕
｠	〔雙括號〕
⦆	〔空心括號〕
⦈	〔映像括號〕
︶	〔豎括號〕
﹘	〔小型〕
‐	〔連字號〕
⸺	〔2Em破折號〕
―	〔水平線〕
‒	〔數字線〕
⁃	〔項目符號〕
₋	〔下標負號〕
¯	〔長音符〕
＝	〔全角〕
﹦	〔小型〕
⁼	〔上標等號〕
‗	〔雙下橫線〕
＋	〔全角〕
﹢	〔小型〕
⁺	〔上標正號〕
₊	〔下標正號〕
±	〔正負號〕
−	〔負號〕
×	〔乘號〕
÷	〔除號〕
∕	〔除法斜號〕
√	〔根號〕
∛	〔立方根〕
∜	〔四次根〕
≠	〔不等於〕
≒	〔約等於〕
≡	〔恆等〕
≌	〔全等於〕
∽	〔相似〕
∞	〔無限大〕
∝	〔比例〕
π	〔圓周率〕
∑	〔N求和〕
∫	〔積分〕
∮	〔圍積分〕
∏	〔N乘積〕
∐	〔N元餘積〕
∇	〔劈算子〕
∆	〔增量〕
㏑	〔自然對數〕
㏒	〔對數〕
∈	〔元素〕
∉	〔非元素〕
⊂	〔子集〕
⊃	〔超集〕
⊆	〔子集等〕
⊇	〔超集等〕
∩	〔交集〕
∪	〔聯集〕
¬	〔邏輯非〕
∃	〔存在〕
∄	〔不存在〕
∀	〔全稱〕
∂	〔偏微分〕
∴	〔所以〕
∵	〔因為〕
∷	〔比例〕
⊥	〔垂直〕
∟	〔直角〕
∠	〔角〕
⊕	〔互斥或〕
⊙	〔同或〕
⊿	〔三角形〕
｢	〔半角〕
﹃	〔豎雙引號〕
﹝	〔小型〕
︹	〔豎六角括號〕
﹁	〔豎引號〕
︿	〔豎書名號〕
︽	〔豎雙書名號〕
⁀	〔字符連接〕
⁔	〔豎翻下連接〕
‹	〔角引號〕
˂	〔修飾字母〕
«	〔角引號〕
〖	〔方頭括號〕
︻	〔豎方頭括號〕
	〔豎方頭括號〕
〘	〔空心六角括號〕
〚	〔空心方括號〕
⁅	〔E方括號〕
〝	〔雙上引〕
‶	〔雙上標符〕
″	〔雙上標符〕
‷	〔三上標符〕
‴	〔三上標符〕
⁗	〔四上標符〕
｣	〔半角〕
﹄	〔豎雙引號〕
﹞	〔小型〕
︺	〔豎六角括號〕
﹂	〔豎引號〕
﹀	〔豎書名號〕
︾	〔豎雙書名號〕
›	〔角引號〕
˃	〔修飾字母〕
»	〔角引號〕
〗	〔方頭括號〕
︼	〔豎方頭括號〕
	〔豎方頭括號〕
〙	〔空心六角括號〕
〛	〔空心方括號〕
⁆	〔E方括號〕
〞	〔雙上引〕
〟	〔雙下引〕
｛	〔全角〕
﹛	〔小型〕
⦃	〔空心花括號〕
｝	〔全角〕
﹜	〔小型〕
⦄	〔空心花括號〕
﹔	〔小型〕
⁏	〔反分號〕
﹕	〔小型〕
⁚	〔兩點標〕
•	〔項目〕
●	〔實心圓〕
･	〔日-中黑半角〕
⋯	〔數-刪節號〕
⁘	〔四點標點〕
⁙	〔五點標點〕
⁛	〔四點記號〕
‥	〔二點前導符〕
⁝	〔三聯句〕
︙	〔豎刪節號〕
⋮	〔數-豎刪節號〕
⁞	〔豎四點〕
＇	〔全角〕
‘	〔陸-引號〕
‛	〔歐-引號〕
‚	〔歐-引號〕
‵	〔上標符〕
‟	〔歐-雙引〕
„	〔歐-雙引〕
＂	〔全角〕
／	〔全角〕
⁄	〔分數斜號〕
﹖	〔小型〕
¿	〔倒問號〕
⁇	〔雙問號〕
⁈	〔疑問感嘆號〕
�	〔替換字符〕
⯑	〔不確定標誌〕
⍰	〔Apl問號〕
🯄	〔負平方問號〕
﹒	〔小型〕
＞	〔全角〕
﹥	〔小型〕
≥	〔大等於〕
≧	〔大等於〕
≯	〔不大於〕
⦊	〔綁定括號〕
｡	〔半角〕
․	〔一點前導符〕
﹐	〔小型〕
＜	〔全角〕
﹤	〔小型〕
≤	〔小等於〕
≦	〔小等於〕
≮	〔不小於〕
⦉	〔綁定括號〕
＼	〔全角〕
﹨	〔小型〕
｜	〔全角〕
¦	〔間斷條〕
￤	〔全-間斷條〕
╎	〔製表符〕
╏	〔製表符〕
┆	〔製表符〕
┇	〔製表符〕
┊	〔製表符〕
┋	〔製表符〕
║	〔製表符〕
∥	〔平行於〕
᱿	〔桑塔利語標點〕
§	〔分節符號〕
¶	〔段落〕
⁋	〔反段落〕
❡	〔段落裝飾〕
⁌	〔加重號〕
⁍	〔加重號〕
∣	〔運算符〕
︱	〔豎破折號〕
︳	〔垂直下橫線〕
│	〔製表符〕
┃	〔製表符〕
々	〔重複記號〕
〃	〔同上記號〕
〻	〔反覆記號〕
❛	〔粗逗引號裝飾〕
❜	〔粗逗引號裝飾〕
❝	〔粗雙逗引號裝飾〕
❞	〔粗雙逗引號裝飾〕
ㄅ	〔注音〕
ㄆ	〔注音〕
ㄇ	〔注音〕
ㄈ	〔注音〕
ㄉ	〔注音〕
ㄊ	〔注音〕
ㄋ	〔注音〕
ㄌ	〔注音〕
ㄍ	〔注音〕
ㄎ	〔注音〕
ㄏ	〔注音〕
ㄐ	〔注音〕
ㄑ	〔注音〕
ㄒ	〔注音〕
ㄓ	〔注音〕
ㄔ	〔注音〕
ㄕ	〔注音〕
ㄖ	〔注音〕
ㄗ	〔注音〕
ㄘ	〔注音〕
ㄙ	〔注音〕
ㄧ	〔注音〕
ㄨ	〔注音〕
ㄩ	〔注音〕
ㄚ	〔注音〕
ㄛ	〔注音〕
ㄜ	〔注音〕
ㄝ	〔注音〕
ㄞ	〔注音〕
ㄟ	〔注音〕
ㄠ	〔注音〕
ㄡ	〔注音〕
ㄢ	〔注音〕
ㄣ	〔注音〕
ㄤ	〔注音〕
ㄥ	〔注音〕
ㄦ	〔注音〕
ㄪ	〔注音老國音〕
ㄫ	〔注音老國音〕
ㄬ	〔注音老國音〕
ㄭ	〔注音擴充〕
ㄮ	〔注音擴充〕
ㄯ	〔注音擴充〕
ㆠ	〔注音擴充〕
ㆡ	〔注音擴充〕
ㆢ	〔注音擴充〕
ㆣ	〔注音擴充〕
ㆤ	〔注音擴充〕
ㆥ	〔注音擴充〕
ㆦ	〔注音擴充〕
ㆧ	〔注音擴充〕
ㆨ	〔注音擴充〕
ㆩ	〔注音擴充〕
ㆪ	〔注音擴充〕
ㆫ	〔注音擴充〕
ㆬ	〔注音擴充〕
ㆭ	〔注音擴充〕
ㆮ	〔注音擴充〕
ㆯ	〔注音擴充〕
ㆰ	〔注音擴充〕
ㆱ	〔注音擴充〕
ㆲ	〔注音擴充〕
ㆳ	〔注音擴充〕
ㆴ	〔注音擴充〕
ㆵ	〔注音擴充〕
ㆶ	〔注音擴充〕
ㆷ	〔注音擴充〕
ㆸ	〔注音擴充〕
ㆹ	〔注音擴充〕
ㆺ	〔注音擴充〕
🄍	〔帶圈斜線零〕
⓪	〔帶圈〕
①	〔帶圈〕
②	〔帶圈〕
③	〔帶圈〕
④	〔帶圈〕
⑤	〔帶圈〕
⑥	〔帶圈〕
⑦	〔帶圈〕
⑧	〔帶圈〕
⑨	〔帶圈〕
⑩	〔帶圈〕
⑪	〔帶圈〕
⑫	〔帶圈〕
⑬	〔帶圈〕
⑭	〔帶圈〕
⑮	〔帶圈〕
⑯	〔帶圈〕
⑰	〔帶圈〕
⑱	〔帶圈〕
⑲	〔帶圈〕
⑳	〔帶圈〕
㉑	〔帶圈〕
㉒	〔帶圈〕
㉓	〔帶圈〕
㉔	〔帶圈〕
㉕	〔帶圈〕
㉖	〔帶圈〕
㉗	〔帶圈〕
㉘	〔帶圈〕
㉙	〔帶圈〕
㉚	〔帶圈〕
㉛	〔帶圈〕
㉜	〔帶圈〕
㉝	〔帶圈〕
㉞	〔帶圈〕
㉟	〔帶圈〕
㊱	〔帶圈〕
㊲	〔帶圈〕
㊳	〔帶圈〕
㊴	〔帶圈〕
㊵	〔帶圈〕
㊶	〔帶圈〕
㊷	〔帶圈〕
㊸	〔帶圈〕
㊹	〔帶圈〕
㊺	〔帶圈〕
㊻	〔帶圈〕
㊼	〔帶圈〕
㊽	〔帶圈〕
㊾	〔帶圈〕
㊿	〔帶圈〕
🄋	〔帶圈無襯〕
➀	〔帶圈無襯〕
➁	〔帶圈無襯〕
➂	〔帶圈無襯〕
➃	〔帶圈無襯〕
➄	〔帶圈無襯〕
➅	〔帶圈無襯〕
➆	〔帶圈無襯〕
➇	〔帶圈無襯〕
➈	〔帶圈無襯〕
➉	〔帶圈無襯〕
⓿	〔反白〕
❶	〔反白〕
❷	〔反白〕
❸	〔反白〕
❹	〔反白〕
❺	〔反白〕
❻	〔反白〕
❼	〔反白〕
❽	〔反白〕
❾	〔反白〕
❿	〔反白〕
⓫	〔反白〕
⓬	〔反白〕
⓭	〔反白〕
⓮	〔反白〕
⓯	〔反白〕
⓰	〔反白〕
⓱	〔反白〕
⓲	〔反白〕
⓳	〔反白〕
⓴	〔反白〕
🄌	〔反白無襯〕
➊	〔反白無襯〕
➋	〔反白無襯〕
➌	〔反白無襯〕
➍	〔反白無襯〕
➎	〔反白無襯〕
➏	〔反白無襯〕
➐	〔反白無襯〕
➑	〔反白無襯〕
➒	〔反白無襯〕
➓	〔反白無襯〕
⓵	〔雙帶圈〕
⓶	〔雙帶圈〕
⓷	〔雙帶圈〕
⓸	〔雙帶圈〕
⓹	〔雙帶圈〕
⓺	〔雙帶圈〕
⓻	〔雙帶圈〕
⓼	〔雙帶圈〕
⓽	〔雙帶圈〕
⓾	〔雙帶圈〕
⑴	〔帶括〕
⑵	〔帶括〕
⑶	〔帶括〕
⑷	〔帶括〕
⑸	〔帶括〕
⑹	〔帶括〕
⑺	〔帶括〕
⑻	〔帶括〕
⑼	〔帶括〕
⑽	〔帶括〕
⑾	〔帶括〕
⑿	〔帶括〕
⒀	〔帶括〕
⒁	〔帶括〕
⒂	〔帶括〕
⒃	〔帶括〕
⒄	〔帶括〕
⒅	〔帶括〕
⒆	〔帶括〕
⒇	〔帶括〕
🄀	〔帶點〕
⒈	〔帶點〕
⒉	〔帶點〕
⒊	〔帶點〕
⒋	〔帶點〕
⒌	〔帶點〕
⒍	〔帶點〕
⒎	〔帶點〕
⒏	〔帶點〕
⒐	〔帶點〕
⒑	〔帶點〕
⒒	〔帶點〕
⒓	〔帶點〕
⒔	〔帶點〕
⒕	〔帶點〕
⒖	〔帶點〕
⒗	〔帶點〕
⒘	〔帶點〕
⒙	〔帶點〕
⒚	〔帶點〕
⒛	〔帶點〕
🄁	〔帶逗〕
🄂	〔帶逗〕
🄃	〔帶逗〕
🄄	〔帶逗〕
🄅	〔帶逗〕
🄆	〔帶逗〕
🄇	〔帶逗〕
🄈	〔帶逗〕
🄉	〔帶逗〕
🄊	〔帶逗〕
０	〔全角〕
１	〔全角〕
２	〔全角〕
３	〔全角〕
４	〔全角〕
５	〔全角〕
６	〔全角〕
７	〔全角〕
８	〔全角〕
９	〔全角〕
⁰	〔上標〕
¹	〔上標〕
²	〔上標〕
³	〔上標〕
⁴	〔上標〕
⁵	〔上標〕
⁶	〔上標〕
⁷	〔上標〕
⁸	〔上標〕
⁹	〔上標〕
₀	〔下標〕
₁	〔下標〕
₂	〔下標〕
₃	〔下標〕
₄	〔下標〕
₅	〔下標〕
₆	〔下標〕
₇	〔下標〕
₈	〔下標〕
₉	〔下標〕
𝟎	〔粗〕
𝟏	〔粗〕
𝟐	〔粗〕
𝟑	〔粗〕
𝟒	〔粗〕
𝟓	〔粗〕
𝟔	〔粗〕
𝟕	〔粗〕
𝟖	〔粗〕
𝟗	〔粗〕
𝟘	〔雙線〕
𝟙	〔雙線〕
𝟚	〔雙線〕
𝟛	〔雙線〕
𝟜	〔雙線〕
𝟝	〔雙線〕
𝟞	〔雙線〕
𝟟	〔雙線〕
𝟠	〔雙線〕
𝟡	〔雙線〕
𝟶	〔等寬〕
𝟷	〔等寬〕
𝟸	〔等寬〕
𝟹	〔等寬〕
𝟺	〔等寬〕
𝟻	〔等寬〕
𝟼	〔等寬〕
𝟽	〔等寬〕
𝟾	〔等寬〕
𝟿	〔等寬〕
𝟢	〔無襯〕
𝟣	〔無襯〕
𝟤	〔無襯〕
𝟥	〔無襯〕
𝟦	〔無襯〕
𝟧	〔無襯〕
𝟨	〔無襯〕
𝟩	〔無襯〕
𝟪	〔無襯〕
𝟫	〔無襯〕
𝟬	〔無襯粗〕
𝟭	〔無襯粗〕
𝟮	〔無襯粗〕
𝟯	〔無襯粗〕
𝟰	〔無襯粗〕
𝟱	〔無襯粗〕
𝟲	〔無襯粗〕
𝟳	〔無襯粗〕
𝟴	〔無襯粗〕
𝟵	〔無襯粗〕
𝔸	〔大-雙線〕
𝔹	〔大-雙線〕
ℂ	〔大-雙線〕
𝔻	〔大-雙線〕
𝔼	〔大-雙線〕
𝔽	〔大-雙線〕
𝔾	〔大-雙線〕
ℍ	〔大-雙線〕
𝕀	〔大-雙線〕
𝕁	〔大-雙線〕
𝕂	〔大-雙線〕
𝕃	〔大-雙線〕
𝕄	〔大-雙線〕
ℕ	〔大-雙線〕
𝕆	〔大-雙線〕
ℙ	〔大-雙線〕
ℚ	〔大-雙線〕
ℝ	〔大-雙線〕
𝕊	〔大-雙線〕
𝕋	〔大-雙線〕
𝕌	〔大-雙線〕
𝕍	〔大-雙線〕
𝕎	〔大-雙線〕
𝕏	〔大-雙線〕
𝕐	〔大-雙線〕
ℤ	〔大-雙線〕
𝕒	〔小-雙線〕
𝕓	〔小-雙線〕
𝕔	〔小-雙線〕
𝕕	〔小-雙線〕
𝕖	〔小-雙線〕
𝕗	〔小-雙線〕
𝕘	〔小-雙線〕
𝕙	〔小-雙線〕
𝕚	〔小-雙線〕
𝕛	〔小-雙線〕
𝕜	〔小-雙線〕
𝕝	〔小-雙線〕
𝕞	〔小-雙線〕
𝕟	〔小-雙線〕
𝕠	〔小-雙線〕
𝕡	〔小-雙線〕
𝕢	〔小-雙線〕
𝕣	〔小-雙線〕
𝕤	〔小-雙線〕
𝕥	〔小-雙線〕
𝕦	〔小-雙線〕
𝕧	〔小-雙線〕
𝕨	〔小-雙線〕
𝕩	〔小-雙線〕
𝕪	〔小-雙線〕
𝕫	〔小-雙線〕
𝐀	〔大-粗〕
𝐁	〔大-粗〕
𝐂	〔大-粗〕
𝐃	〔大-粗〕
𝐄	〔大-粗〕
𝐅	〔大-粗〕
𝐆	〔大-粗〕
𝐇	〔大-粗〕
𝐈	〔大-粗〕
𝐉	〔大-粗〕
𝐊	〔大-粗〕
𝐋	〔大-粗〕
𝐌	〔大-粗〕
𝐍	〔大-粗〕
𝐎	〔大-粗〕
𝐏	〔大-粗〕
𝐐	〔大-粗〕
𝐑	〔大-粗〕
𝐒	〔大-粗〕
𝐓	〔大-粗〕
𝐔	〔大-粗〕
𝐕	〔大-粗〕
𝐖	〔大-粗〕
𝐗	〔大-粗〕
𝐘	〔大-粗〕
𝐙	〔大-粗〕
𝐚	〔小-粗〕
𝐛	〔小-粗〕
𝐜	〔小-粗〕
𝐝	〔小-粗〕
𝐞	〔小-粗〕
𝐟	〔小-粗〕
𝐠	〔小-粗〕
𝐡	〔小-粗〕
𝐢	〔小-粗〕
𝐣	〔小-粗〕
𝐤	〔小-粗〕
𝐥	〔小-粗〕
𝐦	〔小-粗〕
𝐧	〔小-粗〕
𝐨	〔小-粗〕
𝐩	〔小-粗〕
𝐪	〔小-粗〕
𝐫	〔小-粗〕
𝐬	〔小-粗〕
𝐭	〔小-粗〕
𝐮	〔小-粗〕
𝐯	〔小-粗〕
𝐰	〔小-粗〕
𝐱	〔小-粗〕
𝐲	〔小-粗〕
𝐳	〔小-粗〕
𝙰	〔大-等寬〕
𝙱	〔大-等寬〕
𝙲	〔大-等寬〕
𝙳	〔大-等寬〕
𝙴	〔大-等寬〕
𝙵	〔大-等寬〕
𝙶	〔大-等寬〕
𝙷	〔大-等寬〕
𝙸	〔大-等寬〕
𝙹	〔大-等寬〕
𝙺	〔大-等寬〕
𝙻	〔大-等寬〕
𝙼	〔大-等寬〕
𝙽	〔大-等寬〕
𝙾	〔大-等寬〕
𝙿	〔大-等寬〕
𝚀	〔大-等寬〕
𝚁	〔大-等寬〕
𝚂	〔大-等寬〕
𝚃	〔大-等寬〕
𝚄	〔大-等寬〕
𝚅	〔大-等寬〕
𝚆	〔大-等寬〕
𝚇	〔大-等寬〕
𝚈	〔大-等寬〕
𝚉	〔大-等寬〕
𝚊	〔小-等寬〕
𝚋	〔小-等寬〕
𝚌	〔小-等寬〕
𝚍	〔小-等寬〕
𝚎	〔小-等寬〕
𝚏	〔小-等寬〕
𝚐	〔小-等寬〕
𝚑	〔小-等寬〕
𝚒	〔小-等寬〕
𝚓	〔小-等寬〕
𝚔	〔小-等寬〕
𝚕	〔小-等寬〕
𝚖	〔小-等寬〕
𝚗	〔小-等寬〕
𝚘	〔小-等寬〕
𝚙	〔小-等寬〕
𝚚	〔小-等寬〕
𝚛	〔小-等寬〕
𝚜	〔小-等寬〕
𝚝	〔小-等寬〕
𝚞	〔小-等寬〕
𝚟	〔小-等寬〕
𝚠	〔小-等寬〕
𝚡	〔小-等寬〕
𝚢	〔小-等寬〕
𝚣	〔小-等寬〕
𝐴	〔大-斜〕
𝐵	〔大-斜〕
𝐶	〔大-斜〕
𝐷	〔大-斜〕
𝐸	〔大-斜〕
𝐹	〔大-斜〕
𝐺	〔大-斜〕
𝐻	〔大-斜〕
𝐼	〔大-斜〕
𝐽	〔大-斜〕
𝐾	〔大-斜〕
𝐿	〔大-斜〕
𝑀	〔大-斜〕
𝑁	〔大-斜〕
𝑂	〔大-斜〕
𝑃	〔大-斜〕
𝑄	〔大-斜〕
𝑅	〔大-斜〕
𝑆	〔大-斜〕
𝑇	〔大-斜〕
𝑈	〔大-斜〕
𝑉	〔大-斜〕
𝑊	〔大-斜〕
𝑋	〔大-斜〕
𝑌	〔大-斜〕
𝑍	〔大-斜〕
𝑎	〔小-斜〕
𝑏	〔小-斜〕
𝑐	〔小-斜〕
𝑑	〔小-斜〕
𝑒	〔小-斜〕
𝑓	〔小-斜〕
𝑔	〔小-斜〕
ℎ	〔小-斜〕
𝑖	〔小-斜〕
𝑗	〔小-斜〕
𝑘	〔小-斜〕
𝑙	〔小-斜〕
𝑚	〔小-斜〕
𝑛	〔小-斜〕
𝑜	〔小-斜〕
𝑝	〔小-斜〕
𝑞	〔小-斜〕
𝑟	〔小-斜〕
𝑠	〔小-斜〕
𝑡	〔小-斜〕
𝑢	〔小-斜〕
𝑣	〔小-斜〕
𝑤	〔小-斜〕
𝑥	〔小-斜〕
𝑦	〔小-斜〕
𝑧	〔小-斜〕
𝑨	〔大-粗斜〕
𝑩	〔大-粗斜〕
𝑪	〔大-粗斜〕
𝑫	〔大-粗斜〕
𝑬	〔大-粗斜〕
𝑭	〔大-粗斜〕
𝑮	〔大-粗斜〕
𝑯	〔大-粗斜〕
𝑰	〔大-粗斜〕
𝑱	〔大-粗斜〕
𝑲	〔大-粗斜〕
𝑳	〔大-粗斜〕
𝑴	〔大-粗斜〕
𝑵	〔大-粗斜〕
𝑶	〔大-粗斜〕
𝑷	〔大-粗斜〕
𝑸	〔大-粗斜〕
𝑹	〔大-粗斜〕
𝑺	〔大-粗斜〕
𝑻	〔大-粗斜〕
𝑼	〔大-粗斜〕
𝑽	〔大-粗斜〕
𝑾	〔大-粗斜〕
𝑿	〔大-粗斜〕
𝒀	〔大-粗斜〕
𝒁	〔大-粗斜〕
𝒂	〔小-粗斜〕
𝒃	〔小-粗斜〕
𝒄	〔小-粗斜〕
𝒅	〔小-粗斜〕
𝒆	〔小-粗斜〕
𝒇	〔小-粗斜〕
𝒈	〔小-粗斜〕
𝒉	〔小-粗斜〕
𝒊	〔小-粗斜〕
𝒋	〔小-粗斜〕
𝒌	〔小-粗斜〕
𝒍	〔小-粗斜〕
𝒎	〔小-粗斜〕
𝒏	〔小-粗斜〕
𝒐	〔小-粗斜〕
𝒑	〔小-粗斜〕
𝒒	〔小-粗斜〕
𝒓	〔小-粗斜〕
𝒔	〔小-粗斜〕
𝒕	〔小-粗斜〕
𝒖	〔小-粗斜〕
𝒗	〔小-粗斜〕
𝒘	〔小-粗斜〕
𝒙	〔小-粗斜〕
𝒚	〔小-粗斜〕
𝒛	〔小-粗斜〕
𝖠	〔大-無襯〕
𝖡	〔大-無襯〕
𝖢	〔大-無襯〕
𝖣	〔大-無襯〕
𝖤	〔大-無襯〕
𝖥	〔大-無襯〕
𝖦	〔大-無襯〕
𝖧	〔大-無襯〕
𝖨	〔大-無襯〕
𝖩	〔大-無襯〕
𝖪	〔大-無襯〕
𝖫	〔大-無襯〕
𝖬	〔大-無襯〕
𝖭	〔大-無襯〕
𝖮	〔大-無襯〕
𝖯	〔大-無襯〕
𝖰	〔大-無襯〕
𝖱	〔大-無襯〕
𝖲	〔大-無襯〕
𝖳	〔大-無襯〕
𝖴	〔大-無襯〕
𝖵	〔大-無襯〕
𝖶	〔大-無襯〕
𝖷	〔大-無襯〕
𝖸	〔大-無襯〕
𝖹	〔大-無襯〕
𝖺	〔小-無襯〕
𝖻	〔小-無襯〕
𝖼	〔小-無襯〕
𝖽	〔小-無襯〕
𝖾	〔小-無襯〕
𝖿	〔小-無襯〕
𝗀	〔小-無襯〕
𝗁	〔小-無襯〕
𝗂	〔小-無襯〕
𝗃	〔小-無襯〕
𝗄	〔小-無襯〕
𝗅	〔小-無襯〕
𝗆	〔小-無襯〕
𝗇	〔小-無襯〕
𝗈	〔小-無襯〕
𝗉	〔小-無襯〕
𝗊	〔小-無襯〕
𝗋	〔小-無襯〕
𝗌	〔小-無襯〕
𝗍	〔小-無襯〕
𝗎	〔小-無襯〕
𝗏	〔小-無襯〕
𝗐	〔小-無襯〕
𝗑	〔小-無襯〕
𝗒	〔小-無襯〕
𝗓	〔小-無襯〕
𝒜	〔大-手稿〕
ℬ	〔大-手稿〕
𝒞	〔大-手稿〕
𝒟	〔大-手稿〕
ℰ	〔大-手稿〕
ℱ	〔大-手稿〕
𝒢	〔大-手稿〕
ℋ	〔大-手稿〕
ℐ	〔大-手稿〕
𝒥	〔大-手稿〕
𝒦	〔大-手稿〕
ℒ	〔大-手稿〕
ℳ	〔大-手稿〕
𝒩	〔大-手稿〕
𝒪	〔大-手稿〕
𝒫	〔大-手稿〕
𝒬	〔大-手稿〕
ℛ	〔大-手稿〕
𝒮	〔大-手稿〕
𝒯	〔大-手稿〕
𝒰	〔大-手稿〕
𝒱	〔大-手稿〕
𝒲	〔大-手稿〕
𝒳	〔大-手稿〕
𝒴	〔大-手稿〕
𝒵	〔大-手稿〕
𝒶	〔小-手稿〕
𝒷	〔小-手稿〕
𝒸	〔小-手稿〕
𝒹	〔小-手稿〕
ℯ	〔小-手稿〕
𝒻	〔小-手稿〕
ℊ	〔小-手稿〕
𝒽	〔小-手稿〕
𝒾	〔小-手稿〕
𝒿	〔小-手稿〕
𝓀	〔小-手稿〕
𝓁	〔小-手稿〕
𝓂	〔小-手稿〕
𝓃	〔小-手稿〕
ℴ	〔小-手稿〕
𝓅	〔小-手稿〕
𝓆	〔小-手稿〕
𝓇	〔小-手稿〕
𝓈	〔小-手稿〕
𝓉	〔小-手稿〕
𝓊	〔小-手稿〕
𝓋	〔小-手稿〕
𝓌	〔小-手稿〕
𝓍	〔小-手稿〕
𝓎	〔小-手稿〕
𝓏	〔小-手稿〕
𝔄	〔大-尖角〕
𝔅	〔大-尖角〕
ℭ	〔大-尖角〕
𝔇	〔大-尖角〕
𝔈	〔大-尖角〕
𝔉	〔大-尖角〕
𝔊	〔大-尖角〕
ℌ	〔大-尖角〕
ℑ	〔大-尖角〕
𝔍	〔大-尖角〕
𝔎	〔大-尖角〕
𝔏	〔大-尖角〕
𝔐	〔大-尖角〕
𝔑	〔大-尖角〕
𝔒	〔大-尖角〕
𝔓	〔大-尖角〕
𝔔	〔大-尖角〕
ℜ	〔大-尖角〕
𝔖	〔大-尖角〕
𝔗	〔大-尖角〕
𝔘	〔大-尖角〕
𝔙	〔大-尖角〕
𝔚	〔大-尖角〕
𝔛	〔大-尖角〕
𝔜	〔大-尖角〕
ℨ	〔大-尖角〕
𝔞	〔小-尖角〕
𝔟	〔小-尖角〕
𝔠	〔小-尖角〕
𝔡	〔小-尖角〕
𝔢	〔小-尖角〕
𝔣	〔小-尖角〕
𝔤	〔小-尖角〕
𝔥	〔小-尖角〕
𝔦	〔小-尖角〕
𝔧	〔小-尖角〕
𝔨	〔小-尖角〕
𝔩	〔小-尖角〕
𝔪	〔小-尖角〕
𝔫	〔小-尖角〕
𝔬	〔小-尖角〕
𝔭	〔小-尖角〕
𝔮	〔小-尖角〕
𝔯	〔小-尖角〕
𝔰	〔小-尖角〕
𝔱	〔小-尖角〕
𝔲	〔小-尖角〕
𝔳	〔小-尖角〕
𝔴	〔小-尖角〕
𝔵	〔小-尖角〕
𝔶	〔小-尖角〕
𝔷	〔小-尖角〕
﹍	〔下虛線〕
﹎	〔下中心點線〕
؟	〔阿拉伯問號〕
〓	〔相容等號〕
〠	〔郵政標臉〕
〷	〔電報換行符〕
〼	〔ます〕
〽	〔庵點歌記號〕
◉	〔魚眼〕
◯	〔大圓圈〕
◦	〔空心加重號〕
◌	〔帶點圓圈〕
◆	〔實心菱形〕
◈	〔空實菱形〕
