#—	〔連接號,破折夾注號〕
➌	〔反白無襯〕
➍	〔反白無襯〕
➎	〔反白無襯〕
➏	〔反白無襯〕
➐	〔反白無襯〕
➑	〔反白無襯〕
➒	〔反白無襯〕
➓	〔反白無襯〕
⓵	〔雙帶圈〕
⓶	〔雙帶圈〕
⓷	〔雙帶圈〕
⓸	〔雙帶圈〕
⓹	〔雙帶圈〕
⓺	〔雙帶圈〕
⓻	〔雙帶圈〕
⓼	〔雙帶圈〕
⓽	〔雙帶圈〕
⓾	〔雙帶圈〕
⑴	〔帶括〕
⑵	〔帶括〕
⑶	〔帶括〕
⑷	〔帶括〕
⑸	〔帶括〕
⑹	〔帶括〕
⑺	〔帶括〕
⑻	〔帶括〕
⑼	〔帶括〕
⑽	〔帶括〕
⑾	〔帶括〕
⑿	〔帶括〕
⒀	〔帶括〕
⒁	〔帶括〕
⒂	〔帶括〕
⒃	〔帶括〕
⒄	〔帶括〕
⒅	〔帶括〕
⒆	〔帶括〕
⒇	〔帶括〕
🄀	〔帶點〕
⒈	〔帶點〕
⒉	〔帶點〕
⒊	〔帶點〕
⒋	〔帶點〕
⒌	〔帶點〕
⒍	〔帶點〕
⒎	〔帶點〕
⒏	〔帶點〕
⒐	〔帶點〕
⒑	〔帶點〕
⒒	〔帶點〕
⒓	〔帶點〕
⒔	〔帶點〕
⒕	〔帶點〕
⒖	〔帶點〕
⒗	〔帶點〕
⒘	〔帶點〕
⒙	〔帶點〕
⒚	〔帶點〕
⒛	〔帶點〕
🄁	〔帶逗〕
🄂	〔帶逗〕
🄃	〔帶逗〕
🄄	〔帶逗〕
🄅	〔帶逗〕
🄆	〔帶逗〕
🄇	〔帶逗〕
🄈	〔帶逗〕
🄉	〔帶逗〕
🄊	〔帶逗〕
𝟎	〔粗〕
𝟏	〔粗〕
𝟐	〔粗〕
𝟑	〔粗〕
𝟒	〔粗〕
𝟓	〔粗〕
𝟔	〔粗〕
𝟕	〔粗〕
𝟖	〔粗〕
𝟗	〔粗〕
𝟘	〔雙線〕
𝟙	〔雙線〕
𝟚	〔雙線〕
𝟛	〔雙線〕
𝟜	〔雙線〕
𝟝	〔雙線〕
𝟞	〔雙線〕
𝟟	〔雙線〕
𝟠	〔雙線〕
𝟡	〔雙線〕
𝟶	〔等寬〕
𝟷	〔等寬〕
𝟸	〔等寬〕
𝟹	〔等寬〕
𝟺	〔等寬〕
𝟻	〔等寬〕
𝟼	〔等寬〕
𝟽	〔等寬〕
𝟾	〔等寬〕
𝟿	〔等寬〕
𝟢	〔無襯〕
𝟣	〔無襯〕
𝟤	〔無襯〕
𝟥	〔無襯〕
𝟦	〔無襯〕
𝟧	〔無襯〕
𝟨	〔無襯〕
𝟩	〔無襯〕
𝟪	〔無襯〕
𝟫	〔無襯〕
𝟬	〔無襯粗〕
𝟭	〔無襯粗〕
𝟮	〔無襯粗〕
𝟯	〔無襯粗〕
𝟰	〔無襯粗〕
𝟱	〔無襯粗〕
𝟲	〔無襯粗〕
𝟳	〔無襯粗〕
𝟴	〔無襯粗〕
𝟵	〔無襯粗〕
𝔸	〔大-雙線〕
𝔹	〔大-雙線〕
ℂ	〔大-雙線〕
𝔻	〔大-雙線〕
𝔼	〔大-雙線〕
𝔽	〔大-雙線〕
𝔾	〔大-雙線〕
ℍ	〔大-雙線〕
𝕀	〔大-雙線〕
𝕁	〔大-雙線〕
𝕂	〔大-雙線〕
𝕃	〔大-雙線〕
𝕄	〔大-雙線〕
ℕ	〔大-雙線〕
𝕆	〔大-雙線〕
ℙ	〔大-雙線〕
ℚ	〔大-雙線〕
ℝ	〔大-雙線〕
𝕊	〔大-雙線〕
𝕋	〔大-雙線〕
𝕌	〔大-雙線〕
𝕍	〔大-雙線〕
𝕎	〔大-雙線〕
𝕏	〔大-雙線〕
𝕐	〔大-雙線〕
ℤ	〔大-雙線〕
𝕒	〔小-雙線〕
𝕓	〔小-雙線〕
𝕔	〔小-雙線〕
𝕕	〔小-雙線〕
𝕖	〔小-雙線〕
𝕗	〔小-雙線〕
𝕘	〔小-雙線〕
𝕙	〔小-雙線〕
𝕚	〔小-雙線〕
𝕛	〔小-雙線〕
𝕜	〔小-雙線〕
𝕝	〔小-雙線〕
𝕞	〔小-雙線〕
𝕟	〔小-雙線〕
𝕠	〔小-雙線〕
𝕡	〔小-雙線〕
𝕢	〔小-雙線〕
𝕣	〔小-雙線〕
𝕤	〔小-雙線〕
𝕥	〔小-雙線〕
𝕦	〔小-雙線〕
𝕧	〔小-雙線〕
𝕨	〔小-雙線〕
𝕩	〔小-雙線〕
𝕪	〔小-雙線〕
𝕫	〔小-雙線〕
𝐀	〔大-粗〕
𝐁	〔大-粗〕
𝐂	〔大-粗〕
𝐃	〔大-粗〕
𝐄	〔大-粗〕
𝐅	〔大-粗〕
𝐆	〔大-粗〕
𝐇	〔大-粗〕
𝐈	〔大-粗〕
𝐉	〔大-粗〕
𝐊	〔大-粗〕
𝐋	〔大-粗〕
𝐌	〔大-粗〕
𝐍	〔大-粗〕
𝐎	〔大-粗〕
𝐏	〔大-粗〕
𝐐	〔大-粗〕
𝐑	〔大-粗〕
𝐒	〔大-粗〕
𝐓	〔大-粗〕
𝐔	〔大-粗〕
𝐕	〔大-粗〕
𝐖	〔大-粗〕
𝐗	〔大-粗〕
𝐘	〔大-粗〕
𝐙	〔大-粗〕
𝐚	〔小-粗〕
𝐛	〔小-粗〕
𝐜	〔小-粗〕
𝐝	〔小-粗〕
𝐞	〔小-粗〕
𝐟	〔小-粗〕
𝐠	〔小-粗〕
𝐡	〔小-粗〕
𝐢	〔小-粗〕
𝐣	〔小-粗〕
𝐤	〔小-粗〕
𝐥	〔小-粗〕
𝐦	〔小-粗〕
𝐧	〔小-粗〕
𝐨	〔小-粗〕
𝐩	〔小-粗〕
𝐪	〔小-粗〕
𝐫	〔小-粗〕
𝐬	〔小-粗〕
𝐭	〔小-粗〕
𝐮	〔小-粗〕
𝐯	〔小-粗〕
𝐰	〔小-粗〕
𝐱	〔小-粗〕
𝐲	〔小-粗〕
𝐳	〔小-粗〕
𝙰	〔大-等寬〕
𝙱	〔大-等寬〕
𝙲	〔大-等寬〕
𝙳	〔大-等寬〕
𝙴	〔大-等寬〕
𝙵	〔大-等寬〕
𝙶	〔大-等寬〕
𝙷	〔大-等寬〕
𝙸	〔大-等寬〕
𝙹	〔大-等寬〕
𝙺	〔大-等寬〕
𝙻	〔大-等寬〕
𝙼	〔大-等寬〕
𝙽	〔大-等寬〕
𝙾	〔大-等寬〕
𝙿	〔大-等寬〕
𝚀	〔大-等寬〕
𝚁	〔大-等寬〕
𝚂	〔大-等寬〕
𝚃	〔大-等寬〕
𝚄	〔大-等寬〕
𝚅	〔大-等寬〕
𝚆	〔大-等寬〕
𝚇	〔大-等寬〕
𝚈	〔大-等寬〕
𝚉	〔大-等寬〕
𝚊	〔小-等寬〕
𝚋	〔小-等寬〕
𝚌	〔小-等寬〕
𝚍	〔小-等寬〕
𝚎	〔小-等寬〕
𝚏	〔小-等寬〕
𝚐	〔小-等寬〕
𝚑	〔小-等寬〕
𝚒	〔小-等寬〕
𝚓	〔小-等寬〕
𝚔	〔小-等寬〕
𝚕	〔小-等寬〕
𝚖	〔小-等寬〕
𝚗	〔小-等寬〕
𝚘	〔小-等寬〕
𝚙	〔小-等寬〕
𝚚	〔小-等寬〕
𝚛	〔小-等寬〕
𝚜	〔小-等寬〕
𝚝	〔小-等寬〕
𝚞	〔小-等寬〕
𝚟	〔小-等寬〕
𝚠	〔小-等寬〕
𝚡	〔小-等寬〕
𝚢	〔小-等寬〕
𝚣	〔小-等寬〕
𝐴	〔大-斜〕
𝐵	〔大-斜〕
𝐶	〔大-斜〕
𝐷	〔大-斜〕
𝐸	〔大-斜〕
𝐹	〔大-斜〕
𝐺	〔大-斜〕
𝐻	〔大-斜〕
𝐼	〔大-斜〕
𝐽	〔大-斜〕
𝐾	〔大-斜〕
𝐿	〔大-斜〕
𝑀	〔大-斜〕
𝑁	〔大-斜〕
𝑂	〔大-斜〕
𝑃	〔大-斜〕
𝑄	〔大-斜〕
𝑅	〔大-斜〕
𝑆	〔大-斜〕
𝑇	〔大-斜〕
𝑈	〔大-斜〕
𝑉	〔大-斜〕
𝑊	〔大-斜〕
𝑋	〔大-斜〕
𝑌	〔大-斜〕
𝑍	〔大-斜〕
𝑎	〔小-斜〕
𝑏	〔小-斜〕
𝑐	〔小-斜〕
𝑑	〔小-斜〕
𝑒	〔小-斜〕
𝑓	〔小-斜〕
𝑔	〔小-斜〕
ℎ	〔小-斜〕
𝑖	〔小-斜〕
𝑗	〔小-斜〕
𝑘	〔小-斜〕
𝑙	〔小-斜〕
𝑚	〔小-斜〕
𝑛	〔小-斜〕
𝑜	〔小-斜〕
𝑝	〔小-斜〕
𝑞	〔小-斜〕
𝑟	〔小-斜〕
𝑠	〔小-斜〕
𝑡	〔小-斜〕
𝑢	〔小-斜〕
𝑣	〔小-斜〕
𝑤	〔小-斜〕
𝑥	〔小-斜〕
𝑦	〔小-斜〕
𝑧	〔小-斜〕
𝑨	〔大-粗斜〕
𝑩	〔大-粗斜〕
𝑪	〔大-粗斜〕
𝑫	〔大-粗斜〕
𝑬	〔大-粗斜〕
𝑭	〔大-粗斜〕
𝑮	〔大-粗斜〕
𝑯	〔大-粗斜〕
𝑰	〔大-粗斜〕
𝑱	〔大-粗斜〕
𝑲	〔大-粗斜〕
𝑳	〔大-粗斜〕
𝑴	〔大-粗斜〕
𝑵	〔大-粗斜〕
𝑶	〔大-粗斜〕
𝑷	〔大-粗斜〕
𝑸	〔大-粗斜〕
𝑹	〔大-粗斜〕
𝑺	〔大-粗斜〕
𝑻	〔大-粗斜〕
𝑼	〔大-粗斜〕
𝑽	〔大-粗斜〕
𝑾	〔大-粗斜〕
𝑿	〔大-粗斜〕
𝒀	〔大-粗斜〕
𝒁	〔大-粗斜〕
𝒂	〔小-粗斜〕
𝒃	〔小-粗斜〕
𝒄	〔小-粗斜〕
𝒅	〔小-粗斜〕
𝒆	〔小-粗斜〕
𝒇	〔小-粗斜〕
𝒈	〔小-粗斜〕
𝒉	〔小-粗斜〕
𝒊	〔小-粗斜〕
𝒋	〔小-粗斜〕
𝒌	〔小-粗斜〕
𝒍	〔小-粗斜〕
𝒎	〔小-粗斜〕
𝒏	〔小-粗斜〕
𝒐	〔小-粗斜〕
𝒑	〔小-粗斜〕
𝒒	〔小-粗斜〕
𝒓	〔小-粗斜〕
𝒔	〔小-粗斜〕
𝒕	〔小-粗斜〕
𝒖	〔小-粗斜〕
𝒗	〔小-粗斜〕
𝒘	〔小-粗斜〕
𝒙	〔小-粗斜〕
𝒚	〔小-粗斜〕
𝒛	〔小-粗斜〕
𝖠	〔大-無襯〕
𝖡	〔大-無襯〕
𝖢	〔大-無襯〕
𝖣	〔大-無襯〕
𝖤	〔大-無襯〕
𝖥	〔大-無襯〕
𝖦	〔大-無襯〕
𝖧	〔大-無襯〕
𝖨	〔大-無襯〕
𝖩	〔大-無襯〕
𝖪	〔大-無襯〕
𝖫	〔大-無襯〕
𝖬	〔大-無襯〕
𝖭	〔大-無襯〕
𝖮	〔大-無襯〕
𝖯	〔大-無襯〕
𝖰	〔大-無襯〕
𝖱	〔大-無襯〕
𝖲	〔大-無襯〕
𝖳	〔大-無襯〕
𝖴	〔大-無襯〕
𝖵	〔大-無襯〕
𝖶	〔大-無襯〕
𝖷	〔大-無襯〕
𝖸	〔大-無襯〕
𝖹	〔大-無襯〕
𝖺	〔小-無襯〕
𝖻	〔小-無襯〕
𝖼	〔小-無襯〕
𝖽	〔小-無襯〕
𝖾	〔小-無襯〕
𝖿	〔小-無襯〕
𝗀	〔小-無襯〕
𝗁	〔小-無襯〕
𝗂	〔小-無襯〕
𝗃	〔小-無襯〕
𝗄	〔小-無襯〕
𝗅	〔小-無襯〕
𝗆	〔小-無襯〕
𝗇	〔小-無襯〕
𝗈	〔小-無襯〕
𝗉	〔小-無襯〕
𝗊	〔小-無襯〕
𝗋	〔小-無襯〕
𝗌	〔小-無襯〕
𝗍	〔小-無襯〕
𝗎	〔小-無襯〕
𝗏	〔小-無襯〕
𝗐	〔小-無襯〕
𝗑	〔小-無襯〕
𝗒	〔小-無襯〕
𝗓	〔小-無襯〕
𝒜	〔大-手稿〕
ℬ	〔大-手稿〕
𝒞	〔大-手稿〕
𝒟	〔大-手稿〕
ℰ	〔大-手稿〕
ℱ	〔大-手稿〕
𝒢	〔大-手稿〕
ℋ	〔大-手稿〕
ℐ	〔大-手稿〕
𝒥	〔大-手稿〕
𝒦	〔大-手稿〕
ℒ	〔大-手稿〕
ℳ	〔大-手稿〕
𝒩	〔大-手稿〕
𝒪	〔大-手稿〕
𝒫	〔大-手稿〕
𝒬	〔大-手稿〕
ℛ	〔大-手稿〕
𝒮	〔大-手稿〕
𝒯	〔大-手稿〕
𝒰	〔大-手稿〕
𝒱	〔大-手稿〕
𝒲	〔大-手稿〕
𝒳	〔大-手稿〕
𝒴	〔大-手稿〕
𝒵	〔大-手稿〕
𝒶	〔小-手稿〕
𝒷	〔小-手稿〕
𝒸	〔小-手稿〕
𝒹	〔小-手稿〕
ℯ	〔小-手稿〕
𝒻	〔小-手稿〕
ℊ	〔小-手稿〕
𝒽	〔小-手稿〕
𝒾	〔小-手稿〕
𝒿	〔小-手稿〕
𝓀	〔小-手稿〕
𝓁	〔小-手稿〕
𝓂	〔小-手稿〕
𝓃	〔小-手稿〕
ℴ	〔小-手稿〕
𝓅	〔小-手稿〕
𝓆	〔小-手稿〕
𝓇	〔小-手稿〕
𝓈	〔小-手稿〕
𝓉	〔小-手稿〕
𝓊	〔小-手稿〕
𝓋	〔小-手稿〕
𝓌	〔小-手稿〕
𝓍	〔小-手稿〕
𝓎	〔小-手稿〕
𝓏	〔小-手稿〕
𝔄	〔大-尖角〕
𝔅	〔大-尖角〕
ℭ	〔大-尖角〕
𝔇	〔大-尖角〕
𝔈	〔大-尖角〕
𝔉	〔大-尖角〕
𝔊	〔大-尖角〕
ℌ	〔大-尖角〕
ℑ	〔大-尖角〕
𝔍	〔大-尖角〕
𝔎	〔大-尖角〕
𝔏	〔大-尖角〕
𝔐	〔大-尖角〕
𝔑	〔大-尖角〕
𝔒	〔大-尖角〕
𝔓	〔大-尖角〕
𝔔	〔大-尖角〕
ℜ	〔大-尖角〕
𝔖	〔大-尖角〕
𝔗	〔大-尖角〕
𝔘	〔大-尖角〕
𝔙	〔大-尖角〕
𝔚	〔大-尖角〕
𝔛	〔大-尖角〕
𝔜	〔大-尖角〕
ℨ	〔大-尖角〕
𝔞	〔小-尖角〕
𝔟	〔小-尖角〕
𝔠	〔小-尖角〕
𝔡	〔小-尖角〕
𝔢	〔小-尖角〕
𝔣	〔小-尖角〕
𝔤	〔小-尖角〕
𝔥	〔小-尖角〕
𝔦	〔小-尖角〕
𝔧	〔小-尖角〕
𝔨	〔小-尖角〕
𝔩	〔小-尖角〕
𝔪	〔小-尖角〕
𝔫	〔小-尖角〕
𝔬	〔小-尖角〕
𝔭	〔小-尖角〕
𝔮	〔小-尖角〕
𝔯	〔小-尖角〕
𝔰	〔小-尖角〕
𝔱	〔小-尖角〕
𝔲	〔小-尖角〕
𝔳	〔小-尖角〕
𝔴	〔小-尖角〕
𝔵	〔小-尖角〕
𝔶	〔小-尖角〕
𝔷	〔小-尖角〕
﹍	〔下虛線〕
﹎	〔下中心點線〕
؟	〔阿拉伯問號〕
〓	〔相容等號〕
〠	〔郵政標臉〕
〷	〔電報換行符〕
〼	〔ます〕
〽	〔庵點歌記號〕
◉	〔魚眼〕
◯	〔大圓圈〕
◦	〔空心加重號〕
◌	〔帶點圓圈〕
◆	〔實心菱形〕
◈	〔空實菱形〕
◇	〔空心菱形〕
◊	〔菱形〕
■	〔實心方〕
◼	〔實心中方〕
◾	〔實心中小方〕
▪	〔實心小方〕
▢	〔帶圓空心方〕
◻	〔空心中方〕
◽	〔空心中小方〕
▫	〔空心小方〕
▣	〔空實方〕
▲	〔實心三角〕
▴	〔實心小三角〕
▵	〔空心小三角〕
▼	〔實心三角〕
▾	〔實心小三角〕
▽	〔空心三角〕
▿	〔空心小三角〕
▶	〔實心三角〕
▸	〔實心小三角〕
‣	〔三角加重號〕
▷	〔空心三角〕
▹	〔空心小三角〕
◀	〔實心三角〕
◂	〔實心小三角〕
◁	〔空心三角〕
◃	〔空心小三角〕
€	〔歐元〕
₤	〔義大利里拉〕
₵	〔迦納塞地〕
₡	〔哥斯大黎加科朗〕
৳	〔孟加拉文盧比〕
฿	〔泰文貨幣符〕
₠	〔歐洲貨幣符〕
₢	〔克魯賽羅〕
₣	〔法國法郎〕
₥	〔密爾〕
₦	〔奈及利亞奈拉〕
₧	〔西班牙比塞塔〕
₩	〔韓元〕
₪	〔以色列新謝克爾〕
₫	〔越南盾〕
₭	〔寮國基普〕
₮	〔蒙古圖格里克〕
₯	〔希臘德拉克馬〕
₰	〔德國便士〕
₱	〔菲律賓比索〕
